ensembl,Symbol,Gene type,Tissue,Cluster
ENSMFAG00000039906,AGK,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040062,ITGB3BP,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040079,HLA-DOA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040179,PLSCR3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040295,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040601,CD5,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040619,OTC,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040625,MAST3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040772,ADAMTS10,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040865,ADARB2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000040954,SH3PXD2B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041183,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041327,OPHN1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041646,CD52,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041777,RNF141,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041785,GIMAP2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041798,METAP1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000041834,PLA2R1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000042030,EPG5,protein_coding,Liver (LL),Cluster U
ENSMFAG00000042143,CLMP,protein_coding,Liver (LL),Cluster U
ENSMFAG00000042418,HOXB5,protein_coding,Liver (LL),Cluster U
ENSMFAG00000042956,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000042992,CHRNA1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000043239,TRIM31,protein_coding,Liver (LL),Cluster U
ENSMFAG00000043558,CLEC17A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000043971,ADAM15,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044096,CLIP3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044118,PRKACB,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044500,KCNK13,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044507,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044604,MARVELD2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044716,FBLIM1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044790,CEACAM8,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044823,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000044872,PLCB3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045129,RCBTB1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045405,ZYG11B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045443,ANXA11,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045640,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045645,PPTC7,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045689,RMDN2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045765,TMEM61,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045777,OLFM4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045903,CPZ,protein_coding,Liver (LL),Cluster U
ENSMFAG00000045965,LIN7B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000046073,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000046083,TNK2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000046337,TESC,protein_coding,Liver (LL),Cluster U
